,name,age,season,Notes,position,position_digtt,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,name_digtt
0,Tony Parker,37,18,50.0,G,5,187.96,82.55,69.67,15.37,2.66,5.59,7.11,0.01,0.09,0.25,0.54,0.31,157
1,Manu Ginobili,41,16,44.0,G,5,198.12,93.27,66.06,13.15,3.48,3.78,10.23,0.03,0.13,0.24,0.58,0.24,98
2,Dwyane Wade,37,16,43.0,G,5,193.04,98.66,65.88,21.83,4.64,5.39,4.0,0.04,0.11,0.31,0.55,0.28,46
3,Andrew Bogut,36,14,36.0,C,0,213.36,116.96,50.43,8.6,8.19,2.04,3.07,0.1,0.25,0.16,0.55,0.12,10
4,Sean Marks,36,11,35.0,F-C,3,208.28,113.4,20.91,2.45,1.7,0.15,-14.07,0.06,0.19,0.18,0.5,0.03,139
5,Melvin Ely,38,9,35.0,C-F,1,208.28,118.29,41.67,4.51,2.71,0.58,-2.79,0.07,0.14,0.17,0.5,0.07,106
6,Travis Diener,32,5,34.0,G,5,185.42,79.38,35.8,3.78,1.04,1.78,-8.5,0.01,0.08,0.14,0.5,0.22,160
7,Brian Cardinal,36,12,30.0,F,2,203.2,110.37,38.0,3.6,1.89,0.82,3.62,0.07,0.14,0.15,0.52,0.11,20
8,Eduardo Najera,36,12,28.0,F,2,203.2,105.95,51.58,4.48,3.42,0.75,1.05,0.08,0.15,0.13,0.51,0.07,50
9,Chauncey Billups,37,17,27.0,G,5,190.5,92.48,61.35,14.05,2.71,4.91,2.86,0.02,0.09,0.21,0.56,0.26,26
10,Matt Bonner,36,12,27.0,C-F,1,208.28,107.73,66.0,5.59,2.85,0.67,5.99,0.05,0.15,0.15,0.59,0.06,104
11,Tim Duncan,40,19,27.0,C-F,1,211.76,116.29,73.26,18.89,10.77,3.01,9.75,0.1,0.26,0.27,0.55,0.16,155
12,Shaun Livingston,34,14,26.0,G,5,200.66,83.78,59.5,6.34,2.41,3.04,0.4,0.03,0.1,0.16,0.53,0.22,143
13,Mike Miller,38,17,25.0,G-F,6,203.2,98.46,60.71,9.71,4.05,2.42,-0.89,0.03,0.16,0.16,0.57,0.15,109
14,Brian Scalabrine,34,11,25.0,F,2,205.74,107.21,47.27,2.81,1.79,0.77,1.46,0.04,0.13,0.13,0.48,0.11,21
15,Luol Deng,34,15,25.0,F,2,205.57,100.3,60.13,13.45,5.51,2.1,0.68,0.05,0.13,0.19,0.53,0.11,96
16,Keyon Dooling,34,13,24.0,G,5,190.89,88.1,56.0,6.56,1.15,1.98,-0.94,0.01,0.06,0.19,0.52,0.19,85
17,Dorell Wright,34,11,24.0,F-G,4,204.82,93.81,49.91,6.79,3.31,1.27,-4.99,0.03,0.17,0.18,0.51,0.11,45
18,Jerry Stackhouse,38,17,23.0,F,2,198.12,98.88,52.82,13.81,2.74,2.8,-1.6,0.03,0.09,0.25,0.5,0.17,71
19,Zaza Pachulia,35,16,23.0,C,0,210.82,123.04,68.62,6.7,5.74,1.32,0.35,0.12,0.21,0.17,0.54,0.1,169
20,Theo Ratliff,38,15,23.0,C,0,208.28,104.78,49.0,6.58,5.25,0.52,-2.91,0.09,0.16,0.13,0.52,0.04,153
21,Kevin Garnett,40,20,23.0,F,2,210.82,106.68,69.1,17.35,9.83,3.63,5.56,0.07,0.26,0.24,0.54,0.18,81
22,Joel Przybilla,34,13,22.0,C,0,215.9,113.92,45.54,3.14,5.52,0.4,-5.98,0.1,0.24,0.09,0.49,0.03,73
23,Marvin Williams,34,15,22.0,F,2,205.57,107.62,71.0,10.23,5.11,1.28,-0.85,0.05,0.16,0.16,0.55,0.07,102
24,Corey Maggette,34,14,22.0,F,2,198.12,101.9,59.07,15.5,4.66,1.98,-3.36,0.04,0.15,0.25,0.57,0.12,32
25,Mo Williams,35,13,21.0,G,5,185.42,86.71,62.92,12.89,2.69,4.77,-2.46,0.02,0.09,0.23,0.52,0.27,111
26,Jose Calderon,38,14,21.0,G,5,190.5,93.73,63.93,8.46,2.38,5.53,-3.82,0.02,0.09,0.15,0.56,0.32,75
27,Josh Howard,36,10,20.0,F,2,200.15,95.25,50.7,13.01,5.18,1.46,3.67,0.06,0.15,0.22,0.5,0.08,76
28,DeSagana Diop,32,12,20.0,C,0,213.36,129.27,50.08,1.69,3.16,0.46,-3.84,0.1,0.18,0.1,0.41,0.06,40
29,Grant Hill,40,16,20.0,F,2,203.2,102.06,54.75,15.42,5.6,3.83,2.22,0.04,0.16,0.23,0.54,0.2,55
30,Eddy Curry,30,11,20.0,C,0,211.51,130.51,47.91,9.66,3.96,0.36,-14.62,0.08,0.16,0.24,0.57,0.03,49
31,Stephen Jackson,37,14,19.0,F-G,4,203.2,98.85,61.29,13.59,3.59,2.79,1.02,0.03,0.11,0.23,0.49,0.15,146
32,Jeff Foster,35,13,19.0,F-C,3,210.82,111.58,58.77,4.47,6.31,0.88,2.37,0.15,0.23,0.12,0.53,0.07,70
33,Shaquille O'Neal,39,15,19.0,C,0,215.9,145.91,60.8,21.88,10.01,2.42,7.74,0.11,0.23,0.29,0.59,0.13,142
34,Andrei Kirilenko,34,13,19.0,F,2,205.74,102.23,61.31,10.95,5.11,2.55,-0.67,0.07,0.15,0.18,0.54,0.14,8
35,Amar'e Stoudemire,33,14,19.0,F-C,3,208.82,111.84,60.43,17.51,7.39,1.15,1.56,0.09,0.2,0.26,0.58,0.06,7
36,Richard Hamilton,37,14,19.0,G,5,200.3,87.02,65.79,16.59,3.01,3.37,1.74,0.03,0.08,0.26,0.52,0.19,127
37,Tracy McGrady,34,15,19.0,G-F,6,203.2,97.67,62.53,18.51,5.41,4.32,0.61,0.05,0.15,0.27,0.51,0.24,158
38,Daniel Gibson,29,7,19.0,G,5,187.96,89.68,56.71,7.66,2.0,1.97,-0.01,0.02,0.08,0.16,0.54,0.13,34
39,Zach Randolph,38,17,18.0,F,2,205.74,116.44,65.65,16.21,8.89,1.81,-2.16,0.11,0.24,0.26,0.52,0.11,168
40,Malik Allen,36,10,18.0,F,2,208.28,115.67,47.8,4.36,2.67,0.45,-4.04,0.08,0.14,0.17,0.46,0.06,97
41,Adonal Foyle,35,12,18.0,C,0,208.28,118.88,61.08,3.78,4.48,0.44,-4.4,0.11,0.19,0.13,0.5,0.04,3
42,Dirk Nowitzki,40,21,18.0,F,2,213.24,110.61,72.48,20.11,7.35,2.34,4.95,0.03,0.21,0.26,0.57,0.12,44
43,Kobe Bryant,37,20,17.0,F-G,4,199.01,95.46,67.3,24.2,5.2,4.76,2.6,0.03,0.13,0.31,0.54,0.24,86
44,David Lee,34,12,17.0,F-C,3,205.74,110.49,69.08,13.26,8.62,2.14,0.22,0.1,0.24,0.2,0.58,0.12,38
45,Stephen Graham,33,6,17.0,G-F,6,198.12,97.52,39.83,3.8,1.58,0.45,-3.83,0.03,0.14,0.18,0.53,0.07,145
46,T.J. Ford,28,8,17.0,G,5,182.88,74.84,53.62,9.95,2.82,5.35,-0.11,0.03,0.1,0.21,0.5,0.34,151
47,David West,38,15,16.0,F,2,205.57,110.25,68.93,13.27,6.32,2.13,1.72,0.07,0.19,0.22,0.54,0.14,39
48,Hedo Turkoglu,36,15,15.0,F,2,207.6,99.79,66.47,10.16,3.77,2.71,2.27,0.03,0.14,0.19,0.52,0.16,58
49,Quentin Richardson,34,13,15.0,F,2,197.92,104.4,60.23,9.63,5.08,1.41,-3.26,0.06,0.15,0.19,0.48,0.09,121
50,Al Harrington,35,16,15.0,F,2,205.74,112.49,61.31,12.2,5.13,1.52,-1.45,0.06,0.17,0.23,0.51,0.1,4
51,Mehmet Okur,33,10,15.0,C-F,1,210.82,116.71,63.4,12.25,6.4,1.7,-1.23,0.08,0.2,0.21,0.54,0.11,105
52,Al Jefferson,34,14,15.0,C,0,208.28,125.55,65.36,15.21,8.16,1.43,-3.34,0.09,0.25,0.25,0.53,0.09,5
53,Metta World Peace,37,17,15.0,F,2,200.51,115.32,58.29,13.01,4.35,2.48,1.31,0.04,0.12,0.21,0.5,0.14,107
54,Ronald Dupree,33,6,15.0,F,2,200.66,94.8,26.17,2.4,1.75,0.48,-4.42,0.06,0.19,0.16,0.43,0.1,132
55,Leandro Barbosa,37,14,15.0,G,5,190.5,87.87,60.71,10.16,1.97,2.01,1.44,0.02,0.09,0.22,0.55,0.15,92
56,Chris Quinn,30,6,14.0,G,5,187.96,80.13,40.17,3.65,0.88,1.67,-2.5,0.01,0.07,0.17,0.46,0.23,28
57,Jason Williams,35,12,14.0,G,5,185.42,84.29,65.67,10.2,2.25,5.64,0.8,0.01,0.08,0.18,0.5,0.3,69
58,James Posey,36,12,14.0,F,2,203.2,97.98,72.0,8.41,4.65,1.6,-0.16,0.03,0.17,0.15,0.54,0.1,61
59,Zydrunas Ilgauskas,36,13,14.0,C,0,220.98,117.93,64.85,12.94,7.34,1.09,2.11,0.12,0.19,0.23,0.53,0.07,170
60,Kevin Martin,33,12,14.0,G,5,200.66,85.62,59.5,17.15,3.14,1.92,-0.99,0.02,0.1,0.24,0.57,0.1,82
61,Aaron Gray,30,7,14.0,C,0,213.36,122.47,45.43,3.24,3.73,0.66,-4.73,0.13,0.23,0.15,0.53,0.09,1
62,Ray Allen,41,18,14.0,G,5,195.58,92.99,72.22,18.88,4.05,3.38,3.77,0.03,0.1,0.23,0.58,0.16,126
63,Tiago Splitter,33,7,14.0,C-F,1,210.82,110.16,50.71,7.3,4.59,1.06,7.06,0.1,0.19,0.19,0.59,0.09,154
64,Yaroslav Korolev,29,2,14.0,F,2,205.74,101.6,17.0,1.15,0.4,0.4,-15.0,0.03,0.08,0.18,0.36,0.16,167
65,Jon Leuer,31,8,14.0,F,2,208.28,103.42,47.12,5.66,3.47,0.68,-4.6,0.07,0.2,0.18,0.54,0.07,74
66,Jason Collins,35,13,14.0,C,0,213.36,116.36,56.54,2.93,3.07,0.7,-0.81,0.07,0.13,0.1,0.45,0.06,64
67,Ronny Turiaf,33,10,14.0,C,0,208.28,112.35,47.3,3.86,3.39,1.13,-0.86,0.07,0.17,0.11,0.51,0.11,134
68,Caron Butler,37,14,14.0,F,2,200.66,102.35,62.93,13.69,4.79,2.21,-0.91,0.04,0.13,0.21,0.52,0.11,23
69,Ronnie Price,35,12,14.0,G,5,187.96,85.62,45.33,3.4,1.18,1.75,-2.47,0.03,0.08,0.16,0.45,0.2,133
70,Elton Brand,37,17,14.0,F,2,204.4,116.89,62.24,14.84,8.11,1.94,-2.56,0.1,0.19,0.22,0.53,0.11,51
71,Darko Milicic,29,10,14.0,C,0,213.36,120.66,46.8,4.88,3.53,0.72,-7.26,0.07,0.18,0.2,0.41,0.07,36
72,Primoz Brezec,37,8,13.0,C,0,215.9,114.14,42.75,4.88,2.76,0.39,-5.36,0.11,0.14,0.18,0.49,0.05,120
73,Sean May,31,4,13.0,C-F,1,205.74,120.66,29.75,6.82,4.05,0.95,-4.55,0.09,0.2,0.22,0.49,0.1,140
74,Willie Green,35,12,13.0,G,5,190.29,91.29,60.92,8.0,1.73,1.31,-2.4,0.02,0.09,0.21,0.5,0.11,165
75,Steve Francis,33,9,13.0,G,5,190.5,90.52,64.0,16.62,5.19,5.63,-0.58,0.05,0.12,0.24,0.52,0.27,149
76,Paul Pierce,39,19,13.0,F,2,199.72,105.04,70.68,18.93,5.44,3.36,3.69,0.03,0.16,0.26,0.57,0.17,117
77,Tony Battie,37,14,13.0,C,0,210.82,108.86,59.79,5.59,4.76,0.59,-1.94,0.08,0.19,0.14,0.51,0.05,156
78,Nazr Mohammed,39,18,13.0,C,0,208.28,112.16,55.83,4.96,3.99,0.31,-1.91,0.12,0.2,0.19,0.5,0.04,112
79,Nick Collison,37,14,13.0,F-C,3,207.92,115.67,65.0,5.36,4.7,0.97,1.99,0.11,0.18,0.13,0.58,0.09,113
80,Martell Webster,30,10,13.0,F-G,4,200.66,104.01,58.0,7.48,2.71,0.89,-9.96,0.03,0.11,0.16,0.49,0.06,101
81,Metta World Peace,37,17,13.0,F,2,200.51,115.32,58.29,13.01,4.35,2.48,1.31,0.04,0.12,0.21,0.5,0.14,107
82,James Jones,36,14,12.0,G-F,6,203.2,98.53,50.64,4.64,1.55,0.46,0.96,0.02,0.1,0.15,0.56,0.05,60
83,Boris Diaw,36,14,12.0,C-F,1,203.2,106.43,76.0,8.42,4.31,3.44,2.29,0.05,0.13,0.16,0.54,0.19,16
84,Allen Iverson,38,14,12.0,G,5,182.88,75.81,65.29,26.06,3.69,6.0,0.6,0.02,0.08,0.31,0.52,0.27,6
85,Kris Humphries,34,13,12.0,F,2,205.74,106.59,61.54,6.52,5.18,0.68,-5.2,0.11,0.23,0.19,0.51,0.07,88
86,Jared Jeffries,31,11,12.0,F,2,210.59,107.63,57.18,4.43,3.82,1.15,0.92,0.1,0.12,0.12,0.46,0.08,62
87,Vince Carter,43,22,12.0,G-F,6,198.35,100.0,69.95,16.34,4.23,2.97,1.16,0.04,0.12,0.24,0.53,0.17,163
88,Anthony Parker,37,9,12.0,G,5,198.12,97.02,54.89,7.21,2.56,1.79,2.99,0.02,0.1,0.16,0.59,0.11,13
89,Charlie Bell,37,7,12.0,G,5,190.5,90.72,53.71,6.74,1.83,1.86,-4.86,0.03,0.08,0.16,0.47,0.13,25
90,Evan Turner,32,10,12.0,G-F,6,200.41,98.43,70.5,9.12,4.44,3.35,-2.42,0.02,0.16,0.19,0.49,0.2,52
91,Royal Ivey,32,10,11.0,G,5,192.53,94.8,49.2,2.77,1.01,0.8,-6.43,0.02,0.11,0.15,0.45,0.1,136
92,Brad Miller,36,14,11.0,C-F,1,213.18,118.03,62.0,10.44,6.66,2.66,1.06,0.08,0.2,0.18,0.56,0.16,18
93,Greg Oden,28,3,11.0,C,0,213.36,127.46,35.0,7.63,5.93,0.47,3.0,0.15,0.23,0.18,0.6,0.04,56
94,Yao Ming,30,8,11.0,C,0,228.28,139.82,60.75,18.56,8.91,1.55,2.01,0.09,0.23,0.27,0.59,0.09,166
95,Juwan Howard,40,17,11.0,F,2,205.74,112.04,62.47,11.1,5.26,1.82,-4.0,0.07,0.17,0.21,0.5,0.12,78
96,Luke Walton,33,10,11.0,F,2,203.2,106.32,56.4,4.35,2.64,2.23,-0.47,0.05,0.13,0.15,0.47,0.21,95
97,Jason Kidd,40,17,10.0,G,5,193.04,95.57,72.41,12.38,6.24,8.68,4.48,0.04,0.16,0.18,0.52,0.37,65
98,Darius Songaila,37,8,10.0,F,2,205.1,111.58,61.88,6.41,3.16,1.06,-1.36,0.07,0.15,0.18,0.53,0.09,35
99,Shawn Marion,37,16,10.0,G-F,6,200.66,101.63,72.69,14.76,8.5,1.87,2.96,0.08,0.2,0.2,0.54,0.09,144
100,Peja Stojakovic,34,13,10.0,F,2,207.5,103.87,61.85,16.32,4.5,1.64,4.39,0.03,0.12,0.21,0.57,0.08,118
101,Earl Barron,36,8,10.0,F-C,3,213.36,113.96,17.5,4.22,3.64,0.39,-12.54,0.11,0.18,0.2,0.41,0.04,47
102,Paul Davis,31,4,10.0,C,0,210.82,122.47,20.5,2.65,1.5,0.65,-3.45,0.08,0.11,0.2,0.46,0.25,116
103,Michael Redd,34,12,10.0,G,5,198.12,97.64,52.42,16.16,3.21,1.91,-2.83,0.03,0.1,0.25,0.52,0.11,108
104,Kevin Ollie,37,13,10.0,G,5,189.33,88.45,50.92,3.2,1.33,1.87,-2.18,0.02,0.1,0.13,0.48,0.21,83
105,Raja Bell,37,12,10.0,G,5,195.58,95.03,58.83,9.2,2.6,1.58,2.22,0.02,0.09,0.16,0.53,0.09,122
106,Coby Karl,32,2,10.0,G,5,195.58,97.52,12.0,2.9,1.7,1.3,3.15,0.04,0.15,0.19,0.45,0.19,30
107,Roy Hibbert,31,9,10.0,C,0,218.44,125.7,73.56,9.79,6.18,1.29,-0.16,0.1,0.17,0.2,0.52,0.09,135
108,Larry Sanders,26,6,9.0,C,0,210.82,105.84,39.67,5.58,4.95,0.63,-3.15,0.15,0.18,0.18,0.47,0.05,91
109,Julius Hodge,31,2,9.0,G,5,200.66,97.52,11.5,1.3,0.7,0.85,-1.6,0.1,0.07,0.22,0.47,0.31,77
110,Antonio McDyess,37,14,9.0,F-C,3,205.74,107.89,67.07,11.98,7.5,1.34,0.03,0.1,0.22,0.21,0.53,0.09,15
111,Matt Barnes,37,14,9.0,F,2,200.66,102.77,66.36,7.77,4.5,1.76,2.19,0.06,0.16,0.16,0.54,0.11,103
112,Aaron Brooks,35,10,9.0,G,5,182.88,73.03,64.5,8.88,1.55,2.76,-3.31,0.02,0.07,0.22,0.52,0.23,0
113,Shane Battier,35,13,9.0,F,2,203.2,100.14,75.15,8.49,4.15,1.76,4.34,0.05,0.11,0.13,0.56,0.09,141
114,Anthony Carter,38,13,9.0,G,5,187.37,87.93,47.92,4.32,1.95,3.58,-0.55,0.02,0.1,0.17,0.43,0.31,12
115,Luke Ridnour,35,12,9.0,G,5,187.32,78.47,69.17,9.07,2.22,4.37,-4.65,0.02,0.08,0.18,0.51,0.27,94
116,Steve Blake,37,13,9.0,G,5,190.5,78.02,66.92,6.44,2.09,3.9,-1.08,0.01,0.09,0.15,0.52,0.25,148
117,Darren Collison,31,10,8.0,G,5,183.39,77.79,70.8,12.63,2.69,5.02,-0.11,0.02,0.08,0.2,0.57,0.26,37
118,Jason Terry,42,19,8.0,G,5,187.96,81.65,74.21,12.88,2.25,3.69,1.61,0.01,0.07,0.2,0.55,0.2,68
119,Jason Richardson,34,13,8.0,G,5,198.12,101.71,65.92,16.21,4.79,2.58,-0.48,0.04,0.12,0.23,0.52,0.13,67
120,Pops Mensah-Bonsu,32,4,8.0,F,2,206.38,107.73,15.25,2.43,2.58,0.2,-7.65,0.14,0.23,0.17,0.45,0.04,119
121,Marcin Gortat,36,12,8.0,C,0,211.03,108.86,67.17,9.18,7.46,1.06,0.82,0.11,0.25,0.17,0.57,0.07,99
122,Adam Morrison,29,3,8.0,F,2,203.2,92.99,53.67,6.07,1.8,1.17,-7.83,0.03,0.1,0.19,0.44,0.11,2
123,Richard Jefferson,38,17,8.0,F,2,200.66,103.47,69.47,12.22,3.92,2.02,0.14,0.03,0.13,0.19,0.56,0.12,128
124,DeShawn Stevenson,35,13,8.0,F-G,4,195.58,97.21,63.38,6.64,2.12,1.6,-4.27,0.03,0.09,0.17,0.47,0.11,41
125,Antawn Jamison,38,16,7.0,F,2,205.74,104.47,67.69,17.59,7.26,1.57,-1.89,0.07,0.17,0.24,0.52,0.08,11
126,Kevin Seraphin,30,7,7.0,F-C,3,207.19,125.52,60.43,5.66,3.34,0.57,-7.64,0.09,0.17,0.2,0.51,0.07,84
127,Rasheed Wallace,38,15,7.0,F-C,3,210.82,103.57,69.6,14.27,6.63,1.74,6.4,0.05,0.2,0.22,0.53,0.09,123
128,Sasha Kaun,31,1,7.0,C,0,210.82,117.93,25.0,0.9,1.0,0.1,-3.2,0.14,0.15,0.13,0.53,0.05,138
129,Jason Maxiell,34,10,7.0,F,2,200.66,117.93,61.8,5.19,3.83,0.4,-6.14,0.1,0.15,0.16,0.5,0.04,66
130,Laron Profit,35,4,7.0,G-F,6,195.58,92.53,33.75,3.3,1.52,1.2,-3.6,0.04,0.12,0.17,0.47,0.17,90
131,Landry Fields,28,5,7.0,G-F,6,200.66,97.07,51.0,5.46,3.54,1.4,-2.7,0.05,0.15,0.13,0.51,0.1,89
132,Carlos Boozer,36,13,7.0,F,2,205.54,120.03,66.23,16.27,9.48,2.28,-0.68,0.09,0.26,0.24,0.55,0.13,22
133,Earl Watson,35,13,7.0,G,5,185.42,87.12,67.54,5.82,2.16,4.22,-0.92,0.03,0.09,0.16,0.48,0.3,48
134,Channing Frye,36,13,6.0,F-C,3,211.02,113.19,68.46,8.42,4.31,0.94,-0.83,0.04,0.18,0.18,0.55,0.07,24
135,Stephon Marbury,40,13,6.0,G,5,187.96,87.58,65.08,18.15,2.83,7.25,-2.65,0.02,0.07,0.24,0.52,0.34,147
136,Corey Brewer,34,12,6.0,G-F,6,205.74,84.67,67.83,8.31,2.8,1.53,-1.05,0.04,0.1,0.18,0.5,0.1,31
137,Gary Neal,34,7,6.0,G,5,193.04,95.25,50.29,8.8,1.91,1.49,-3.8,0.01,0.1,0.22,0.49,0.13,54
138,Kelenna Azubuike,31,5,6.0,G,5,195.58,99.34,41.6,9.24,3.18,0.86,-8.46,0.04,0.1,0.21,0.55,0.06,79
139,Chris Duhon,31,9,6.0,G,5,185.42,84.92,67.33,6.14,2.17,4.26,-0.21,0.01,0.08,0.13,0.52,0.26,27
140,Ryan Gomes,33,8,6.0,F,2,200.66,111.98,60.88,8.4,3.96,1.22,-4.5,0.05,0.14,0.16,0.49,0.08,137
141,Trevor Booker,32,8,6.0,F,2,203.2,105.97,66.5,6.9,5.51,1.04,-3.71,0.11,0.19,0.16,0.55,0.08,162
142,Fabricio Oberto,35,6,6.0,F-C,3,208.28,111.13,56.0,2.73,2.97,0.77,-2.97,0.1,0.15,0.11,0.59,0.08,53
143,Derek Fisher,39,18,6.0,G,5,185.42,93.14,71.5,8.31,2.07,2.98,6.61,0.01,0.08,0.16,0.51,0.18,43
144,Brandon Roy,28,6,5.0,G,5,198.12,98.43,54.33,16.33,3.93,4.48,2.08,0.04,0.11,0.24,0.51,0.23,19
145,Tayshaun Prince,37,14,5.0,F,2,205.74,97.43,72.64,10.8,4.15,2.32,1.23,0.04,0.12,0.17,0.51,0.12,152
146,Bostjan Nachbar,37,6,5.0,F,2,205.74,100.24,52.83,5.93,2.25,0.78,-4.77,0.03,0.14,0.19,0.5,0.09,17
147,Steve Nash,41,18,5.0,G,5,190.5,85.45,67.61,13.52,2.91,8.16,4.77,0.02,0.08,0.2,0.59,0.38,150
148,Jarron Collins,32,10,5.0,C,0,210.82,113.4,54.2,3.49,2.62,0.66,-1.21,0.09,0.13,0.11,0.5,0.07,63
149,Mirza Teletovic,33,6,5.0,F,2,205.74,110.98,54.0,7.72,3.13,0.87,-3.43,0.04,0.16,0.2,0.54,0.08,110
150,Antoine Walker,35,12,5.0,F,2,205.74,110.34,74.42,17.21,7.58,3.43,-2.04,0.07,0.18,0.26,0.48,0.17,14
151,Trajan Langdon,35,3,4.0,G,5,190.5,89.06,39.67,5.23,1.4,1.23,5.43,0.02,0.09,0.18,0.55,0.15,159
152,Mario West,31,4,4.0,G,5,195.58,95.25,40.5,1.55,1.1,0.62,1.25,0.08,0.12,0.11,0.5,0.1,100
153,Rasho Nesterovic,35,12,4.0,C,0,213.36,114.15,67.58,6.47,4.88,0.98,3.32,0.1,0.17,0.16,0.5,0.07,124
154,Robbie Hummel,28,2,3.0,F,2,204.47,99.56,49.0,3.9,2.75,0.5,-4.8,0.05,0.17,0.12,0.51,0.06,130
155,Andres Nocioni,37,8,3.0,F,2,200.66,102.06,64.25,9.52,4.12,1.05,-4.06,0.03,0.2,0.22,0.51,0.08,9
156,Nolan Smith,27,2,3.0,G,5,187.96,83.91,42.0,3.3,1.0,1.15,-9.85,0.03,0.08,0.22,0.43,0.21,114
157,Luke Jackson,31,4,3.0,F-G,4,200.66,97.52,18.25,3.72,1.23,0.8,-10.28,0.04,0.11,0.22,0.48,0.15,93
158,Vladimir Stepania,32,6,3.0,C,0,214.21,109.92,45.0,3.88,3.78,0.37,-4.1,0.12,0.22,0.19,0.44,0.06,164
159,Dan Dickau,33,6,3.0,G,5,182.88,84.67,50.0,5.05,1.18,2.27,-5.07,0.02,0.08,0.19,0.51,0.27,33
160,Robert Traylor,34,7,3.0,F-C,3,203.2,129.14,62.57,4.69,3.67,0.7,-0.77,0.12,0.19,0.18,0.5,0.08,131
161,Dee Brown,31,8,3.0,G,5,186.37,84.94,32.75,5.87,1.64,2.01,-4.4,0.01,0.09,0.16,0.45,0.18,42
162,Dee Brown,31,8,3.0,G,5,186.37,84.94,32.75,5.87,1.64,2.01,-4.4,0.01,0.09,0.16,0.45,0.18,42
163,Kendall Marshall,26,4,2.0,G,5,193.04,89.58,40.0,4.72,1.42,4.32,-6.4,0.01,0.08,0.16,0.49,0.32,80
164,Kosta Perovic,30,1,2.0,C,0,218.44,108.86,7.0,1.4,1.9,0.1,2.7,0.15,0.19,0.15,0.4,0.04,87
165,Raul Lopez,36,2,2.0,G,5,182.88,75.98,56.5,6.1,1.6,3.85,1.2,0.02,0.09,0.2,0.52,0.36,125
166,Ime Udoka,35,7,2.0,G-F,6,195.58,99.47,45.14,3.94,2.4,0.86,-1.74,0.04,0.15,0.15,0.44,0.1,59
167,Greg Ostertag,38,10,2.0,C,0,218.44,127.01,69.9,4.62,5.62,0.65,4.62,0.13,0.21,0.12,0.51,0.05,57
168,Chuck Hayes,33,11,2.0,C-F,1,198.12,109.77,58.55,3.43,4.67,1.13,3.39,0.1,0.22,0.11,0.52,0.1,29
169,Rob Kurz,28,1,2.0,F,2,205.74,105.23,40.0,3.9,2.0,0.5,-14.2,0.07,0.12,0.16,0.51,0.07,129
170,Pablo Prigioni,39,4,1.0,G,5,190.5,83.91,67.5,3.47,1.88,2.82,0.82,0.04,0.1,0.11,0.57,0.25,115
171,Jiri Welsch,38,4,1.0,F,2,200.66,94.35,61.75,5.4,2.2,1.4,-3.75,0.03,0.11,0.18,0.47,0.14,72
172,Travis Hansen,33,1,1.0,G-F,6,198.12,92.99,41.0,3.0,1.7,0.5,-0.9,0.07,0.09,0.14,0.43,0.06,161
