name,age,season,Notes,position
Tony Parker,37,18,50.0,G
Manu Ginobili,41,16,44.0,G
Dwyane Wade,37,16,43.0,G
Andrew Bogut,36,14,36.0,C
Sean Marks,36,11,35.0,F-C
Melvin Ely,38,9,35.0,C-F
Travis Diener,32,5,34.0,G
Brian Cardinal,36,12,30.0,F
Eduardo Najera,36,12,28.0,F
Chauncey Billups,37,17,27.0,G
Matt Bonner,36,12,27.0,C-F
Tim Duncan,40,19,27.0,C-F
Shaun Livingston,34,14,26.0,G
Mike Miller,38,17,25.0,G-F
Brian Scalabrine,34,11,25.0,F
Luol Deng,34,15,25.0,F
Keyon Dooling,34,13,24.0,G
Dorell Wright,34,11,24.0,F-G
Jerry Stackhouse,38,17,23.0,F
Zaza Pachulia,35,16,23.0,C
Theo Ratliff,38,15,23.0,C
Kevin Garnett,40,20,23.0,F
Joel Przybilla,34,13,22.0,C
Marvin Williams,34,15,22.0,F
Corey Maggette,34,14,22.0,F
Mo Williams,35,13,21.0,G
Jose Calderon,38,14,21.0,G
Josh Howard,36,10,20.0,F
DeSagana Diop,32,12,20.0,C
Grant Hill,40,16,20.0,F
Eddy Curry,30,11,20.0,C
Stephen Jackson,37,14,19.0,F-G
Jeff Foster,35,13,19.0,F-C
Shaquille O'Neal,39,15,19.0,C
Andrei Kirilenko,34,13,19.0,F
Amar'e Stoudemire,33,14,19.0,F-C
Richard Hamilton,37,14,19.0,G
Tracy McGrady,34,15,19.0,G-F
Daniel Gibson,29,7,19.0,G
Zach Randolph,38,17,18.0,F
Malik Allen,36,10,18.0,F
Adonal Foyle,35,12,18.0,C
Dirk Nowitzki,40,21,18.0,F
Kobe Bryant,37,20,17.0,F-G
David Lee,34,12,17.0,F-C
Stephen Graham,33,6,17.0,G-F
T.J. Ford,28,8,17.0,G
David West,38,15,16.0,F
Hedo Turkoglu,36,15,15.0,F
Quentin Richardson,34,13,15.0,F
Al Harrington,35,16,15.0,F
Mehmet Okur,33,10,15.0,C-F
Al Jefferson,34,14,15.0,C
Metta World Peace,37,17,15.0,F
Ronald Dupree,33,6,15.0,F
Leandro Barbosa,37,14,15.0,G
Chris Quinn,30,6,14.0,G
Jason Williams,35,12,14.0,G
James Posey,36,12,14.0,F
Zydrunas Ilgauskas,36,13,14.0,C
Kevin Martin,33,12,14.0,G
Aaron Gray,30,7,14.0,C
Ray Allen,41,18,14.0,G
Tiago Splitter,33,7,14.0,C-F
Yaroslav Korolev,29,2,14.0,F
Jon Leuer,31,8,14.0,F
Jason Collins,35,13,14.0,C
Ronny Turiaf,33,10,14.0,C
Caron Butler,37,14,14.0,F
Ronnie Price,35,12,14.0,G
Elton Brand,37,17,14.0,F
Darko Milicic,29,10,14.0,C
Primoz Brezec,37,8,13.0,C
Sean May,31,4,13.0,C-F
Willie Green,35,12,13.0,G
Steve Francis,33,9,13.0,G
Paul Pierce,39,19,13.0,F
Tony Battie,37,14,13.0,C
Nazr Mohammed,39,18,13.0,C
Nick Collison,37,14,13.0,F-C
Martell Webster,30,10,13.0,F-G
Metta World Peace,37,17,13.0,F
James Jones,36,14,12.0,G-F
Boris Diaw,36,14,12.0,C-F
Allen Iverson,38,14,12.0,G
Kris Humphries,34,13,12.0,F
Jared Jeffries,31,11,12.0,F
Vince Carter,43,22,12.0,G-F
Anthony Parker,37,9,12.0,G
Charlie Bell,37,7,12.0,G
Evan Turner,32,10,12.0,G-F
Royal Ivey,32,10,11.0,G
Brad Miller,36,14,11.0,C-F
Greg Oden,28,3,11.0,C
Yao Ming,30,8,11.0,C
Juwan Howard,40,17,11.0,F
Luke Walton,33,10,11.0,F
Jason Kidd,40,17,10.0,G
Darius Songaila,37,8,10.0,F
Shawn Marion,37,16,10.0,G-F
Peja Stojakovic,34,13,10.0,F
Earl Barron,36,8,10.0,F-C
Paul Davis,31,4,10.0,C
Michael Redd,34,12,10.0,G
Kevin Ollie,37,13,10.0,G
Raja Bell,37,12,10.0,G
Coby Karl,32,2,10.0,G
Roy Hibbert,31,9,10.0,C
Larry Sanders,26,6,9.0,C
Julius Hodge,31,2,9.0,G
Antonio McDyess,37,14,9.0,F-C
Matt Barnes,37,14,9.0,F
Aaron Brooks,35,10,9.0,G
Shane Battier,35,13,9.0,F
Anthony Carter,38,13,9.0,G
Luke Ridnour,35,12,9.0,G
Steve Blake,37,13,9.0,G
Darren Collison,31,10,8.0,G
Jason Terry,42,19,8.0,G
Jason Richardson,34,13,8.0,G
Pops Mensah-Bonsu,32,4,8.0,F
Marcin Gortat,36,12,8.0,C
Adam Morrison,29,3,8.0,F
Richard Jefferson,38,17,8.0,F
DeShawn Stevenson,35,13,8.0,F-G
Antawn Jamison,38,16,7.0,F
Kevin Seraphin,30,7,7.0,F-C
Rasheed Wallace,38,15,7.0,F-C
Sasha Kaun,31,1,7.0,C
Jason Maxiell,34,10,7.0,F
Laron Profit,35,4,7.0,G-F
Landry Fields,28,5,7.0,G-F
Carlos Boozer,36,13,7.0,F
Earl Watson,35,13,7.0,G
Channing Frye,36,13,6.0,F-C
Stephon Marbury,40,13,6.0,G
Corey Brewer,34,12,6.0,G-F
Gary Neal,34,7,6.0,G
Kelenna Azubuike,31,5,6.0,G
Chris Duhon,31,9,6.0,G
Ryan Gomes,33,8,6.0,F
Trevor Booker,32,8,6.0,F
Fabricio Oberto,35,6,6.0,F-C
Derek Fisher,39,18,6.0,G
Brandon Roy,28,6,5.0,G
Tayshaun Prince,37,14,5.0,F
Bostjan Nachbar,37,6,5.0,F
Steve Nash,41,18,5.0,G
Jarron Collins,32,10,5.0,C
Mirza Teletovic,33,6,5.0,F
Antoine Walker,35,12,5.0,F
Trajan Langdon,35,3,4.0,G
Mario West,31,4,4.0,G
Rasho Nesterovic,35,12,4.0,C
Robbie Hummel,28,2,3.0,F
Andres Nocioni,37,8,3.0,F
Nolan Smith,27,2,3.0,G
Luke Jackson,31,4,3.0,F-G
Vladimir Stepania,32,6,3.0,C
Dan Dickau,33,6,3.0,G
Robert Traylor,34,7,3.0,F-C
Dee Brown,31,8,3.0,G
Dee Brown,31,8,3.0,G
Kendall Marshall,26,4,2.0,G
Kosta Perovic,30,1,2.0,C
Raul Lopez,36,2,2.0,G
Ime Udoka,35,7,2.0,G-F
Greg Ostertag,38,10,2.0,C
Chuck Hayes,33,11,2.0,C-F
Rob Kurz,28,1,2.0,F
Pablo Prigioni,39,4,1.0,G
Jiri Welsch,38,4,1.0,F
Travis Hansen,33,1,1.0,G-F
